sneak	279-1295-B
statue	288-454-B,288-477-B,288-515-B,288-544-B,288-564-B
stature	288-605-B,288-626-B,288-656-B,288-683-B,288-704-B,288-731-B
status	288-764-B,288-787-B,288-810-B,288-833-B,288-853-B
statute	288-888-B
staunch	288-915-B
stay	288-957-B,288-972-B,288-990-B,288-1020-B,288-1044-B,288-1068-B,288-1095-B,288-1122-B
stay at home	288-1152-B
steadfast	288-1190-B,288-1219-B
steadfastness	288-1248-B
steadily	288-1281-B,288-1303-B,288-1325-B,288-1347-B,288-1369-B,288-1400-B,288-1431-B,288-1468-B,288-1499-B,288-1530-B,288-1567-B,288-1607-B,288-1644-B
steadiness	288-1681-B
steady	288-1714-B,288-1737-B,288-1757-B,288-1780-B,288-1809-B,288-1847-B,288-1873-B,288-1902-B,288-1943-B,288-1975-B,288-2007-B,288-2048-B,288-2089-B,288-2121-B,288-2150-B
steak	288-2179-B
steal	288-2198-B,288-2220-B,288-2236-B,288-2255-B,288-2292-B,288-2323-B,288-2351-B,288-2388-B
stealing	288-2413-B,288-2444-B,288-2472-B,288-2503-B,288-2534-B,288-2574-B
stealth	288-2614-B
stealthily	288-2635-B,288-2659-B,288-2701-B
stealthy	288-2764-B
steam	288-2804-B,288-2823-B,288-2860-B,288-2882-B,288-2910-B,288-2938-B,288-2960-B
steamer	288-2988-B,288-3018-B,288-3051-B
steaming	288-3078-B
steamship	288-3103-B,288-3132-B,288-3155-B,288-3178-B
steel	288-3219-B,288-3241-B
steelworks	288-3269-B,288-3311-B,288-3353-B,288-3395-B
steep	288-3437-B,288-3477-B,288-3508-B,288-3539-B,288-3573-B,288-3601-B,288-3632-B
steepen	288-3660-B
steeple	288-3690-B,288-3720-B
steer	288-3750-B
steering	288-3775-B
stein	288-3809-B,288-3828-B
stem	288-3847-B,288-3865-B,288-3889-B
stench	288-3907-B,288-3933-B,288-3965-B
stencil	288-3991-B,288-4018-B
stenographer	288-4057-B,288-4095-B
stenosis	288-4136-B
step	205-1763-S,288-4170-B,288-4188-B,288-4218-B,288-4245-B,288-4266-B,288-4299-B,288-4323-B,288-4350-B,288-4368-B,288-4392-B,288-4422-B,288-4449-B,288-4473-B,288-4500-B,288-4527-S
step by step	288-4527-B
stepbrother	288-4571-B
stepchild	288-4614-B,288-4643-B
stepdaughter	288-4672-B,288-4713-B
stepfather	288-4751-B,288-4781-B,288-4814-B
stepladder	288-4841-B
stepmother	288-4874-B,288-4904-B
steppe	288-4937-B,288-4957-B,288-4986-B
stepson	288-5015-B,288-5054-B
stereo	288-5090-B
stereophonic	288-5110-B
stereoscope	288-5151-B,288-5188-B,288-5234-B
stereotype	288-5280-B,288-5313-B,288-5343-B,288-5391-B,288-5439-B,288-5487-B,288-5520-B
sterile	288-5550-B
sterility	288-5577-B,288-5606-B,288-5647-B,288-5676-B
sterilization	288-5711-B,288-5768-B,288-5804-B,288-5840-B,288-5879-B
sterilizer	288-5915-B
stern	288-5957-B,288-5997-B,288-6025-B,288-6053-B,288-6093-B,288-6124-B,288-6149-B,288-6180-B,289-0-B,289-25-B
