pudding	236-1255-B,236-1279-B
recurrent	245-714-B
recursion	245-740-B,245-769-B
recursive	245-798-B,245-824-B,245-853-B,245-891-B
recycle	245-929-B,245-953-B
recycling	245-995-B,245-1027-B,245-1065-B,245-1112-B
redden	245-1159-B,245-1191-B
reddish	245-1229-B
reddish brown	245-1280-B,245-1322-B,245-1358-B
redeem	245-1397-B,245-1426-B,245-1461-B
redefinition	245-1499-B
redemption	245-1540-B,245-1579-B,245-1615-B,245-1651-B,245-1693-B,245-1735-B,245-1777-B
redevelopment	245-1810-B
redhead	245-1855-B,245-1870-B
redirect	245-1897-B
redistribution	245-1925-B,245-1971-B,245-2017-B
redo	245-2060-B,245-2096-B,245-2132-B
redoubtable	245-2168-B,245-2208-B,245-2245-B
redraft	245-2300-B
redress	245-2339-B
reduce	245-2366-B,245-2389-B,245-2430-B,245-2471-B,245-2491-B,245-2514-B,245-2540-B,245-2581-B,245-2619-B,245-2639-B,245-2671-B,245-2703-B,245-2735-B,245-2767-B
reducing	245-2796-B
reduction	245-2827-B,245-2856-B,245-2888-B,245-2920-B,245-2955-B,245-2993-B,245-3025-B,245-3060-B,245-3095-B,245-3133-B,245-3159-B,245-3194-B,245-3229-B,245-3267-B,245-3302-B
redundancy	245-3334-B,245-3385-B,245-3421-B,245-3457-B,245-3490-B,245-3535-B,245-3583-B,245-3616-B,245-3646-B,245-3679-B,245-3715-B
redundant	245-3751-B
redwood	245-3783-B,245-3813-B
reed	245-3858-B,245-3873-B,245-3891-B
reef	245-3909-B,245-3924-B,245-3954-B,245-3984-B,245-4005-B,245-4026-B
reel	245-4056-B,245-4074-B,245-4092-B,245-4107-B,245-4134-B,245-4164-B,245-4182-B
reelection	245-4203-B
reexamination	245-4239-B,245-4275-B
referee	245-4314-B,245-4338-B,245-4368-B,245-4398-B,245-4437-B,245-4476-B,245-4515-B
reference	70-4408-S,70-4452-S,245-4554-B,245-4583-B,245-4612-B,245-4647-B,245-4679-B,245-4732-B,245-4770-B,245-4802-B,245-4837-B,245-4872-B,245-4904-B,245-4936-B,245-4971-B,245-5015-B
referendum	245-5050-B,245-5104-B
refill	245-5158-B
refinance	245-5199-B
refine	245-5231-B,245-5272-B,245-5295-B,245-5333-B,245-5359-B,245-5385-B,245-5414-B
refinement	245-5440-B,245-5476-B,245-5506-B,245-5536-B,245-5572-B,245-5602-B,245-5638-B,245-5668-B,245-5698-B,245-5731-B,245-5764-B,245-5794-B,245-5824-B,245-5857-B,245-5893-B
refinery	245-5923-B,245-5963-B
reflation	245-6003-B
reflect	245-6035-B,245-6059-B,245-6098-B,245-6137-B,245-6164-B,245-6203-B
reflectance	245-6239-B
reflecting	245-6282-B,245-6324-B
reflection	245-6357-B,245-6390-B,245-6423-B,245-6456-B,245-6489-B,245-6522-B,245-6558-B,245-6591-B,245-6624-B,245-6654-B,245-6687-B,245-6729-B,245-6762-B
reflective	246-0-B,246-33-B
reflector	246-75-B,246-104-B
reflexive	246-148-B
refloat	246-189-B
reflux	246-219-B
reforestation	246-251-B
reform	246-305-B,246-334-B,246-366-B,246-395-B,246-427-B,246-456-B,246-482-B,246-517-B,246-546-B,246-575-B,246-607-B,246-636-B,246-662-B,246-691-B,246-717-B
reformation	246-746-B,246-798-B,246-832-B
reformatory	246-866-B,246-906-B
reformer	246-949-B
reformist	246-989-B
refraction	246-1027-B
refrain	246-1060-B,246-1084-B,246-1108-B,246-1147-B,246-1186-B,246-1225-B
refresh	246-1261-B
refreshing	246-1285-B,246-1321-B,246-1366-B,246-1402-B,246-1447-B,246-1483-B
refreshingly	246-1516-B,246-1569-B
refreshment	246-1622-B,246-1662-B,246-1708-B,246-1742-B
refrigerant	246-1776-B,246-1819-B,246-1853-B,246-1887-B
refrigerate	246-1933-B,246-1973-B,246-2007-B
refrigeration	246-2044-B,246-2080-B,246-2119-B,246-2155-B
refrigerator	246-2200-B,246-2229-B,246-2270-B,246-2311-B,246-2355-B
refuge	246-2396-B,246-2425-B,246-2466-B
refugee	246-2498-B
refund	246-2537-B,246-2563-B
refusal	246-2598-B,246-2634-B,246-2673-B,246-2703-B,246-2739-B,246-2778-B,246-2817-B,246-2844-B,246-2871-B,246-2901-B,246-2931-B,246-2964-B,246-2994-B
refuse	246-3021-B,246-3047-B,246-3073-B,246-3093-B,246-3134-B,246-3175-B
refutation	246-3210-B,246-3246-B,246-3279-B,246-3312-B,246-3345-B,246-3378-B,246-3411-B,246-3444-B,246-3477-B
regain	246-3510-B,246-3548-B
regard	246-3586-B,246-3618-B,246-3647-B,246-3676-B,246-3705-B
regarding	246-3731-B,246-3754-B,246-3786-B,246-3824-B,246-3865-B,246-3906-B,246-3944-B,246-3976-B
regatta	246-4011-B,246-4032-B
regeneration	246-4065-B,246-4100-B,246-4135-B,246-4170-B,246-4202-B
regent	246-4234-B,246-4263-B
reggae	246-4295-B
regime	246-4312-B,246-4338-B
regiment	246-4370-B,246-4416-B,246-4447-B
regimentation	246-4478-B
region	246-4517-B,246-4540-B,246-4569-B,246-4595-B,246-4621-B,246-4647-B,246-4667-B
regional	246-4699-B,246-4727-B
register	246-4764-B,246-4780-B,246-4802-B,246-4836-B,246-4867-B,246-4907-B,246-4941-B,246-4972-B,246-5003-B,246-5031-B
registrant	246-5062-B
registration	246-5104-B,246-5133-B,246-5165-B,246-5197-B
registry	246-5232-B,246-5260-B
regression	246-5291-B,246-5324-B
regressive	246-5357-B
regret	246-5390-B,246-5413-B,246-5439-B,246-5471-B,246-5500-B,246-5529-B,246-5567-B,246-5611-B,246-5652-B,246-5675-B,246-5704-B,246-5730-B,246-5759-B,246-5791-B,246-5820-B,246-5849-B,246-5875-B,246-5904-B,246-5951-B
regretful	246-5977-B
regrettable	246-6009-B,246-6052-B,246-6092-B,246-6126-B,246-6163-B,246-6203-B,246-6249-B,246-6298-B
regrettably	246-6329-B,246-6360-B,246-6394-B
regular	246-6434-B,246-6458-B,246-6488-B,246-6521-B,246-6554-B,246-6584-B,246-6617-B,246-6656-B,246-6677-B,247-0-B,247-27-B,247-63-B,247-108-B,247-156-B
regularity	247-192-B,247-225-B
regularization	247-258-B
